日期,國家,城市,項目,次數,min,max,median,variance
2021-04-09,TW,Taitung City,pm25,38,9.0,34.0,17.0,434.99
2021-05-31,TW,Taitung City,pm25,41,9.0,34.0,17.0,470.99
2021-08-04,TW,Taitung City,pm25,25,21.0,38.0,25.0,358.23
2021-09-13,TW,Taitung City,pm25,29,21.0,46.0,30.0,483.20
2021-01-24,TW,Taitung City,pm25,45,13.0,78.0,50.0,2726.19
2021-01-25,TW,Taitung City,pm25,48,17.0,68.0,59.0,1258.58
2021-02-21,TW,Taitung City,pm25,46,9.0,61.0,34.0,1398.16
2021-07-30,TW,Taitung City,pm25,33,21.0,46.0,30.0,491.48
2021-08-31,TW,Taitung City,pm25,15,21.0,42.0,25.0,529.71
2020-12-30,TW,Taitung City,pm25,45,13.0,61.0,34.0,2324.83
2021-03-03,TW,Taitung City,pm25,42,9.0,50.0,17.0,1191.78
2021-07-02,TW,Taitung City,pm25,45,25.0,53.0,42.0,545.25
2021-07-06,TW,Taitung City,pm25,10,21.0,46.0,25.0,577.78
2021-07-15,TW,Taitung City,pm25,5,21.0,30.0,21.0,162.00
2021-01-04,TW,Taitung City,pm25,41,13.0,42.0,25.0,505.95
2021-03-22,TW,Taitung City,pm25,47,9.0,50.0,34.0,1102.75
2021-05-22,TW,Taitung City,pm25,48,21.0,55.0,42.0,768.65
2021-08-03,TW,Taitung City,pm25,18,21.0,46.0,25.0,532.81
2021-08-19,TW,Taitung City,pm25,14,21.0,34.0,25.0,180.66
2021-09-15,TW,Taitung City,pm25,34,21.0,50.0,34.0,625.45
2021-01-09,TW,Taitung City,pm25,47,9.0,198.0,46.0,7303.46
2021-01-22,TW,Taitung City,pm25,36,9.0,34.0,13.0,409.99
2021-06-14,TW,Taitung City,pm25,22,9.0,46.0,21.0,1153.25
2021-05-27,TW,Taitung City,pm25,47,13.0,59.0,21.0,1100.74
2021-06-24,TW,Taitung City,pm25,37,9.0,55.0,17.0,926.04
2021-01-30,TW,Taitung City,pm25,48,17.0,78.0,53.0,2038.72
2021-03-14,TW,Taitung City,pm25,47,9.0,68.0,34.0,1377.35
2021-03-21,TW,Taitung City,pm25,48,13.0,63.0,38.0,2029.32
2021-06-15,TW,Taitung City,pm25,33,9.0,50.0,38.0,835.51
2021-08-01,TW,Taitung City,pm25,4,21.0,25.0,21.0,40.00
2021-09-22,TW,Taitung City,pm25,11,21.0,38.0,25.0,278.54
2021-01-03,TW,Taitung City,pm25,47,9.0,50.0,30.0,1041.49
2021-02-14,TW,Taitung City,pm25,47,9.0,65.0,21.0,1821.05
2021-03-15,TW,Taitung City,pm25,48,25.0,70.0,50.0,1114.85
2021-07-11,TW,Taitung City,pm25,5,21.0,34.0,21.0,338.00
2021-09-17,TW,Taitung City,pm25,40,21.0,50.0,30.0,586.26
2021-08-08,TW,Taitung City,pm25,34,21.0,53.0,34.0,1041.08
2021-03-04,TW,Taitung City,pm25,46,9.0,50.0,30.0,1002.75
2021-03-18,TW,Taitung City,pm25,48,9.0,70.0,34.0,1898.90
2021-04-28,TW,Taitung City,pm25,48,13.0,61.0,34.0,1075.73
2021-01-15,TW,Taitung City,pm25,42,9.0,59.0,38.0,1063.32
2021-03-11,TW,Taitung City,pm25,41,9.0,63.0,30.0,2426.98
2021-07-27,TW,Taitung City,pm25,42,21.0,55.0,34.0,816.38
2021-04-08,TW,Taitung City,pm25,46,9.0,59.0,30.0,1307.44
2021-05-20,TW,Taitung City,pm25,45,9.0,46.0,25.0,752.55
2021-07-24,TW,Taitung City,pm25,43,21.0,53.0,30.0,618.36
2021-01-17,TW,Taitung City,pm25,48,17.0,87.0,42.0,2324.10
2021-02-02,TW,Taitung City,pm25,46,17.0,78.0,38.0,2427.92
2021-02-10,TW,Taitung City,pm25,48,13.0,59.0,30.0,1169.11
2021-04-02,TW,Taitung City,pm25,48,55.0,82.0,68.0,465.25
2021-07-03,TW,Taitung City,pm25,45,21.0,55.0,38.0,988.62
2021-07-17,TW,Taitung City,pm25,7,21.0,30.0,21.0,119.52
2021-10-01,TW,Taitung City,pm25,44,21.0,65.0,42.0,808.35
2021-02-12,TW,Taitung City,pm25,46,13.0,199.0,30.0,7481.18
2021-04-06,TW,Taitung City,pm25,48,17.0,65.0,53.0,1179.96
2021-07-05,TW,Taitung City,pm25,3,21.0,21.0,21.0,0.00
2021-06-28,TW,Taitung City,pm25,33,9.0,42.0,21.0,547.67
2021-09-03,TW,Taitung City,pm25,12,21.0,34.0,25.0,213.33
2021-01-12,TW,Taitung City,pm25,43,13.0,91.0,57.0,6571.68
2021-01-14,TW,Taitung City,pm25,46,13.0,57.0,42.0,896.22
2021-06-19,TW,Taitung City,pm25,48,13.0,55.0,34.0,890.20
2021-08-17,TW,Taitung City,pm25,8,21.0,30.0,21.0,109.82
2021-09-14,TW,Taitung City,pm25,44,21.0,57.0,34.0,775.16
